,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
439,Empire Earth II,PC,2005,79,7.4,T
440,Codename: Panzers Cold War,PC,2009,67,5.3,T
441,Star Wars: The Force Unleashed II,PC,2010,59,6.0,T
442,Doom,PC,2016,85,8.5,M
443,SimCity,PC,2013,64,2.2,E10+
444,Harry Potter and the Half-Blood Prince,PC,2009,64,5.5,E10+
445,Doom 3 BFG Edition,PC,2012,59,6.4,M
446,GTR Evolution,PC,2008,83,6.9,E
447,Lords of the Fallen,PC,2023,75,6.7,M
448,Sins of a Solar Empire,PC,2008,87,8.4,T
449,NBA 2K13,PC,2012,90,7.3,E
450,Resident Evil 4,PC,2023,91,7.0,M
451,Commander: Conquest of the Americas,PC,2010,68,5.4,T
452,LEGO Pirates of the Caribbean: The Video Game,PC,2011,73,7.2,E10+
453,Braid,PC,2009,90,8.5,E10+
454,Syberia,PC,2002,82,8.4,T
455,Jack Keane,PC,2008,69,6.4,T
456,Ride,PC,2015,68,5.0,E
457,Battle vs. Chess,PC,2012,69,5.9,T
458,LEGO Harry Potter: Years 1-4,PC,2010,79,7.4,E10+
459,Bus Simulator 16,PC,2016,46,5.8,
460,Botanicula,PC,2012,82,8.3,
461,Cossacks: European Wars,PC,2001,74,8.2,T
462,Warhammer: Mark of Chaos,PC,2006,73,7.1,M
463,Battlefield Vietnam,PC,2004,84,7.8,T
464,Age of Conan: Rise of the Godslayer,PC,2010,83,7.5,M
465,Max Payne 2: The Fall of Max Payne,PC,2003,86,8.9,M
466,Magicka,PC,2011,74,7.6,T
467,Guild Wars: Nightfall,PC,2006,84,8.3,T
468,MySims,PC,2008,70,7.5,E
469,The Sims 2: Bon Voyage,PC,2007,74,7.6,T
470,Star Wars The Clone Wars: Republic Heroes,PC,2009,46,5.2,T
471,Bully: Scholarship Edition,PC,2008,72,7.9,T
472,Divinity II: Flames of Vengeance,PC,2010,72,7.7,M
473,Battlefield 2142,PC,2006,80,7.5,T
474,Air Conflicts: Secret Wars,PC,2011,65,6.3,T
475,Lost Planet 2,PC,2010,63,6.2,T
476,X3: Terran Conflict,PC,2008,73,7.9,T
477,SWAT 4,PC,2005,85,8.6,M
478,Battlefield 1942,PC,2002,89,8.4,T
479,Captain Morgane and the Golden Turtle,PC,2013,54,6.2,
480,Dungeon Siege II,PC,2005,80,7.8,M
481,Battlestations: Pacific,PC,2009,74,7.5,T
482,GRID Autosport,PC,2014,78,6.3,E
483,The Lord of the Rings: Conquest,PC,2009,57,6.9,T
484,Final Fantasy XIV: Heavensward,PC,2015,86,9.1,T
485,Viva Pinata,PC,2007,78,7.6,E
486,Neverwinter Nights 2,PC,2006,82,7.4,T
487,Jurassic Park: Operation Genesis,PC,2003,72,8.5,T
488,Warhammer Online: Age of Reckoning,PC,2008,86,6.9,T
489,The Settlers: Rise of an Empire,PC,2007,66,7.4,E10+
490,ParaWorld,PC,2006,71,8.0,T
491,Ghost Pirates of Vooju Island,PC,2010,66,5.8,T
492,Demigod,PC,2009,76,7.3,T
493,Stronghold Crusader Extreme,PC,2008,45,6.2,T
494,Cities XL 2011,PC,2010,70,5.7,E
495,SimCity Societies,PC,2007,63,4.3,E10+
496,Star Trek Online,PC,2010,66,6.4,T
497,Tropico 4: Modern Times,PC,2012,78,7.6,T
498,DiRT,PC,2007,84,7.6,E
499,IL-2 Sturmovik: Forgotten Battles,PC,2003,86,7.8,T
500,Ceville,PC,2009,73,5.9,E
501,Ice Age: Dawn of the Dinosaurs,PC,2009,67,8.0,E10+
502,GT Legends,PC,2006,84,7.2,E
503,Street Fighter X Tekken,PC,2012,79,6.5,T
504,Kung Fu Panda,PC,2008,71,6.3,E10+
505,Frontlines: Fuel of War,PC,2008,73,6.3,T
506,Plants vs. Zombies: Garden Warfare,PC,2014,78,7.7,E10+
